full-key,sparse-key,x,y,z,qw,qx,qy,qz
6989586621679010659,6989586621679010659,0,0,0,1,0,0,0
6989586621679010658,6989586621679010658,0,0,0,1,0,0,0
6989586621679010657,6989586621679010657,0,0,0,1,0,0,0
6989586621679010656,6989586621679010656,0,0,0,1,0,0,0
6989586621679010655,6989586621679010655,0,0,0,1,0,0,0
6989586621679010654,6989586621679010654,0,0,0,1,0,0,0
6989586621679010653,6989586621679010653,0,0,0,1,0,0,0
6989586621679010652,6989586621679010652,0,0,0,1,0,0,0
6989586621679010651,6989586621679010651,0,0,0,1,0,0,0
6989586621679010650,6989586621679010650,0,0,0,1,0,0,0
6989586621679010649,6989586621679010649,0,0,0,1,0,0,0
6989586621679010648,6989586621679010648,0,0,0,1,0,0,0
6989586621679010647,6989586621679010647,0,0,0,1,0,0,0
6989586621679010646,6989586621679010646,0,0,0,1,0,0,0
6989586621679010645,6989586621679010645,0,0,0,1,0,0,0
6989586621679010644,6989586621679010644,0,0,0,1,0,0,0
6989586621679010643,6989586621679010643,0,0,0,1,0,0,0
6989586621679010642,6989586621679010642,0,0,0,1,0,0,0
6989586621679010641,6989586621679010641,0,0,0,1,0,0,0
6989586621679010640,6989586621679010640,0,0,0,1,0,0,0
6989586621679010639,6989586621679010639,0,0,0,1,0,0,0
6989586621679010638,6989586621679010638,0,0,0,1,0,0,0
6989586621679010637,6989586621679010637,0,0,0,1,0,0,0
6989586621679010636,6989586621679010636,0,0,0,1,0,0,0
6989586621679010635,6989586621679010635,0,0,0,1,0,0,0
6989586621679010634,6989586621679010634,0,0,0,1,0,0,0
6989586621679010633,6989586621679010633,0,0,0,1,0,0,0
6989586621679010632,6989586621679010632,0,0,0,1,0,0,0
6989586621679010631,6989586621679010631,0,0,0,1,0,0,0
6989586621679010630,6989586621679010630,0,0,0,1,0,0,0
6989586621679010629,6989586621679010629,0,0,0,1,0,0,0
6989586621679010628,6989586621679010628,0,0,0,1,0,0,0
6989586621679010627,6989586621679010627,0,0,0,1,0,0,0
6989586621679010626,6989586621679010626,0,0,0,1,0,0,0
6989586621679010625,6989586621679010625,0,0,0,1,0,0,0
6989586621679010624,6989586621679010624,0,0,0,1,0,0,0
6989586621679010623,6989586621679010623,0,0,0,1,0,0,0
6989586621679010622,6989586621679010622,0,0,0,1,0,0,0
6989586621679010621,6989586621679010621,0,0,0,1,0,0,0
6989586621679010620,6989586621679010620,0,0,0,1,0,0,0
6989586621679010619,6989586621679010619,0,0,0,1,0,0,0
6989586621679010618,6989586621679010618,0,0,0,1,0,0,0
6989586621679010617,6989586621679010617,0,0,0,1,0,0,0
6989586621679010616,6989586621679010616,0,0,0,1,0,0,0
6989586621679010615,6989586621679010615,0,0,0,1,0,0,0
6989586621679010614,6989586621679010614,0,0,0,1,0,0,0
6989586621679010613,6989586621679010613,0,0,0,1,0,0,0
6989586621679010612,6989586621679010612,0,0,0,1,0,0,0
6989586621679010611,6989586621679010611,0,0,0,1,0,0,0
6989586621679010610,6989586621679010610,0,0,0,1,0,0,0
6989586621679010609,6989586621679010609,0,0,0,1,0,0,0
6989586621679010608,6989586621679010608,0,0,0,1,0,0,0
6989586621679010607,6989586621679010607,0,0,0,1,0,0,0
6989586621679010606,6989586621679010606,0,0,0,1,0,0,0
6989586621679010605,6989586621679010605,0,0,0,1,0,0,0
6989586621679010604,6989586621679010604,0,0,0,1,0,0,0
6989586621679010603,6989586621679010603,0,0,0,1,0,0,0
6989586621679010602,6989586621679010602,0,0,0,1,0,0,0
6989586621679010601,6989586621679010601,0,0,0,1,0,0,0
6989586621679010600,6989586621679010600,0,0,0,1,0,0,0
6989586621679010599,6989586621679010599,0,0,0,1,0,0,0
6989586621679010598,6989586621679010598,0,0,0,1,0,0,0
6989586621679010597,6989586621679010597,0,0,0,1,0,0,0
6989586621679010596,6989586621679010596,0,0,0,1,0,0,0
6989586621679010595,6989586621679010595,0,0,0,1,0,0,0
