nodes_active,nodes_removed,nodes_merged,nodes_w_parents,nodes_w_children,edges
438,22595,0,0,0,693
440,22710,0,0,0,690
449,22827,0,0,0,705
456,22953,0,0,0,718
452,23086,0,0,0,714
456,23215,0,0,0,734
455,23348,0,0,0,725
451,23480,0,0,0,715
454,23605,0,0,0,723
458,23729,0,0,0,731
460,23856,0,0,0,731
461,23985,0,0,0,728
463,24115,0,0,0,728
477,24240,0,0,0,748
472,24379,0,0,0,742
479,24513,0,0,0,753
480,24654,0,0,0,757
483,24796,0,0,0,763
485,24941,0,0,0,762
485,25088,0,0,0,775
482,25235,0,0,0,762
482,25379,0,0,0,763
485,25523,0,0,0,773
485,25670,0,0,0,772
485,25817,0,0,0,757
488,25964,0,0,0,765
491,26108,0,0,0,769
492,26255,0,0,0,779
503,26395,0,0,0,801
506,26546,0,0,0,801
507,26700,0,0,0,800
511,26855,0,0,0,797
507,27014,0,0,0,794
511,27169,0,0,0,790
512,27328,0,0,0,795
511,27480,0,0,0,797
506,27631,0,0,0,785
506,27777,0,0,0,786
518,27917,0,0,0,814
519,28069,0,0,0,824
514,28218,0,0,0,813
520,28362,0,0,0,828
524,28512,0,0,0,833
526,28661,0,0,0,838
530,28812,0,0,0,844
534,28967,0,0,0,845
536,29122,0,0,0,843
539,29279,0,0,0,843
533,29433,0,0,0,834
535,29581,0,0,0,835
537,29729,0,0,0,839
534,29879,0,0,0,832
532,30026,0,0,0,833
550,30166,0,0,0,875
561,30324,0,0,0,885
558,30493,0,0,0,896
556,30657,0,0,0,883
563,30819,0,0,0,907
561,30988,0,0,0,898
564,31149,0,0,0,894
565,31313,0,0,0,901
560,31478,0,0,0,888
566,31638,0,0,0,899
565,31804,0,0,0,896
566,31969,0,0,0,887
568,32135,0,0,0,898
569,32303,0,0,0,907
574,32469,0,0,0,910
573,32638,0,0,0,898
577,32806,0,0,0,909
575,32972,0,0,0,904
578,33136,0,0,0,910
570,33303,0,0,0,895
575,33462,0,0,0,894
576,33626,0,0,0,896
584,33791,0,0,0,909
587,33958,0,0,0,920
594,34126,0,0,0,946
604,34300,0,0,0,962
614,34482,0,0,0,959
622,34667,0,0,0,976
631,34856,0,0,0,998
625,35044,0,0,0,995
624,35226,0,0,0,994
626,35407,0,0,0,993
624,35590,0,0,0,995
627,35768,0,0,0,1000
636,35934,0,0,0,1015
627,36100,0,0,0,1001
625,36256,0,0,0,996
625,36410,0,0,0,990
628,36563,0,0,0,989
638,36715,0,0,0,1009
634,36877,0,0,0,1010
641,37026,0,0,0,1012
655,37176,0,0,0,1040
657,37340,0,0,0,1044
654,37506,0,0,0,1043
655,37664,0,0,0,1051
651,37819,0,0,0,1043
649,37966,0,0,0,1046
659,38090,0,0,0,1058
665,38219,0,0,0,1069
664,38350,0,0,0,1063
669,38475,0,0,0,1074
667,38605,0,0,0,1072
673,38732,0,0,0,1090
671,38857,0,0,0,1083
668,38974,0,0,0,1076
674,39084,0,0,0,1078
676,39200,0,0,0,1081
676,39318,0,0,0,1084
685,39436,0,0,0,1099
682,39563,0,0,0,1093
689,39684,0,0,0,1110
695,39806,0,0,0,1114
705,39932,0,0,0,1130
707,40068,0,0,0,1134
712,40206,0,0,0,1139
714,40349,0,0,0,1144
715,40494,0,0,0,1144
712,40640,0,0,0,1142
719,40778,0,0,0,1162
724,40916,0,0,0,1166
734,41056,0,0,0,1177
725,41206,0,0,0,1168
724,41347,0,0,0,1169
723,41487,0,0,0,1165
722,41626,0,0,0,1169
724,41764,0,0,0,1168
722,41904,0,0,0,1158
725,42042,0,0,0,1165
729,42178,0,0,0,1182
729,42318,0,0,0,1185
730,42456,0,0,0,1183
733,42587,0,0,0,1193
743,42717,0,0,0,1216
749,42857,0,0,0,1226
747,43003,0,0,0,1224
748,43147,0,0,0,1222
748,43292,0,0,0,1217
748,43437,0,0,0,1226
750,43582,0,0,0,1223
754,43729,0,0,0,1230
758,43880,0,0,0,1238
760,44032,0,0,0,1232
759,44184,0,0,0,1224
754,44335,0,0,0,1215
756,44481,0,0,0,1221
759,44629,0,0,0,1239
755,44780,0,0,0,1213
764,44922,0,0,0,1241
766,45068,0,0,0,1227
779,45216,0,0,0,1244
778,45377,0,0,0,1251
779,45537,0,0,0,1257
778,45698,0,0,0,1261
779,45858,0,0,0,1257
781,46015,0,0,0,1264
780,46170,0,0,0,1273
781,46322,0,0,0,1273
779,46475,0,0,0,1263
783,46617,0,0,0,1267
788,46761,0,0,0,1273
790,46910,0,0,0,1278
791,47061,0,0,0,1282
793,47213,0,0,0,1285
790,47367,0,0,0,1280
793,47518,0,0,0,1282
794,47672,0,0,0,1284
788,47824,0,0,0,1272
796,47968,0,0,0,1293
799,48120,0,0,0,1295
799,48275,0,0,0,1292
799,48430,0,0,0,1289
801,48584,0,0,0,1295
799,48729,0,0,0,1295
799,48867,0,0,0,1307
799,49005,0,0,0,1307
799,49143,0,0,0,1308
799,49281,0,0,0,1311
798,49419,0,0,0,1307
798,49556,0,0,0,1310
798,49693,0,0,0,1310
798,49830,0,0,0,1310
798,49967,0,0,0,1313
807,50100,0,0,0,1320
808,50242,0,0,0,1322
810,50381,0,0,0,1323
809,50522,0,0,0,1323
812,50662,0,0,0,1321
813,50805,0,0,0,1325
817,50949,0,0,0,1331
821,51097,0,0,0,1341
816,51249,0,0,0,1326
821,51396,0,0,0,1334
819,51548,0,0,0,1334
824,51698,0,0,0,1344
822,51853,0,0,0,1342
822,52006,0,0,0,1345
824,52159,0,0,0,1344
822,52314,0,0,0,1335
822,52467,0,0,0,1339
823,52620,0,0,0,1342
